id,web_name,team,value,minutes,goals_scored,assists,clean_sheets,bonus,form,threat,influence,creativity,xG,xA,selected_by_percent,points_per_game,total_points,FDR,next_gameweek_points
691,Kukonki,14,40,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,4,0.0
745,Amorim,14,8,0,0,0,0,0,4.5,0.0,0.0,0.0,0.00,0.00,1.5,0.0,9,2,0.0
761,Harrison,14,40,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,1,0.0
766,Dorgu,14,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.1,0.0,0,4,0.0
390,A.Murphy,15,40,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.6,0.0,0,4,0.0
391,Almirón,15,54,150,0,0,0,0,0.5,57.0,15.2,40.9,0.52,0.19,0.3,1.1,10,4,1.1
392,Barnes,15,59,773,5,1,1,9,0.0,297.0,255.8,176.2,2.41,2.62,1.0,3.2,65,2,3.2
393,Botman,15,44,225,0,0,1,0,1.5,13.0,41.8,2.6,0.03,0.02,0.1,2.3,7,4,2.3
394,Bruno G.,15,61,2089,2,6,8,6,4.8,209.0,474.6,544.4,2.25,4.07,2.2,3.6,87,4,3.6
395,Burn,15,44,2070,0,0,8,5,2.0,168.0,413.0,44.9,1.10,0.69,7.3,2.9,66,2,2.9
396,Dúbravka,15,43,810,0,0,5,2,4.0,0.0,196.4,0.0,0.00,0.00,3.2,4.8,43,4,4.8
398,Gordon,15,76,1855,6,6,9,9,4.2,600.0,508.2,710.0,7.52,4.34,20.2,4.7,107,2,4.7
399,Hall,15,51,1918,0,5,8,9,3.2,124.0,463.8,487.6,0.43,3.41,25.0,3.8,92,2,3.8
400,Hayden,15,44,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.1,0.0,0,1,0.0
401,Isak,15,95,1800,17,5,7,28,8.2,905.0,795.8,463.7,14.08,3.11,59.7,6.9,152,2,6.9
402,J.Murphy,15,51,1337,4,8,6,5,4.8,274.0,399.6,383.7,2.59,3.58,4.6,4.2,88,3,4.2
403,Joelinton,15,60,1915,4,1,7,11,1.8,396.0,388.4,317.2,3.43,1.67,1.3,3.3,76,2,3.3
404,Kelly,15,42,299,0,1,0,0,0.2,20.0,80.6,29.0,0.41,0.11,0.1,1.2,12,2,1.2
405,Krafth,15,43,240,0,0,1,0,0.0,11.0,44.2,10.9,0.04,0.03,0.1,3.3,10,1,3.3
406,Kuol,15,44,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.1,0.0,0,4,0.0
407,Lascelles,15,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,4,0.0
408,Lewis,15,40,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.1,0.0,0,4,0.0
409,Livramento,15,45,1642,0,0,5,2,2.5,49.0,319.8,168.8,0.13,0.54,1.8,2.4,56,4,2.4
410,Longstaff,15,45,712,0,1,2,0,0.2,76.0,92.0,75.5,0.60,0.22,0.4,1.5,27,3,1.5
411,Miley,15,50,32,0,0,0,0,0.8,0.0,8.0,4.4,0.00,0.02,0.0,1.0,5,4,1.0
412,Odysseas,15,43,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.1,0.0,0,2,0.0
